R,Python,Excel,BisonNet,RMarkdown or Quarto documents,Git/GitHub,Data visualization,Data wrangling/cleaning,Statistical and/or machine learning modeling,Text analysis,Project
Moderate experience,Limited experience,Moderate experience,No experience,No experience,No experience,Limited experience,Moderate experience,No experience,No experience,AI Persona Lab
No experience,Moderate experience,Moderate experience,No experience,No experience,No experience,Moderate experience,Moderate experience,Moderate experience,Limited experience,Careers
No experience,Limited experience,Moderate experience,No experience,No experience,No experience,Moderate experience,Moderate experience,Moderate experience,Limited experience,Podcasts
Limited experience,Expert,Limited experience,Expert,Limited experience,Moderate experience,Moderate experience,Moderate experience,Expert,Expert,Genomics
No experience,Moderate experience,Expert,No experience,No experience,Limited experience,Moderate experience,Moderate experience,Limited experience,Limited experience,Mortgages
Moderate experience,Moderate experience,Moderate experience,No experience,Moderate experience,Limited experience,Expert,,Limited experience,Limited experience,Entrepreneurship
No experience,Moderate experience,Moderate experience,No experience,No experience,Moderate experience,Moderate experience,Moderate experience,Moderate experience,Moderate experience,Podcasts
No experience,Expert,Expert,No experience,No experience,Expert,Expert,Expert,Expert,Limited experience,AI Persona Lab
Expert,Limited experience,Moderate experience,No experience,Expert,Moderate experience,Expert,Moderate experience,Moderate experience,Limited experience,Entrepreneurship
Expert,Limited experience,Limited experience,No experience,Moderate experience,Moderate experience,Expert,Expert,Limited experience,Moderate experience,Podcasts
Moderate experience,Moderate experience,Expert,No experience,Limited experience,Limited experience,Moderate experience,Moderate experience,Moderate experience,Moderate experience,Genomics
No experience,Moderate experience,Expert,No experience,No experience,No experience,Moderate experience,Moderate experience,Moderate experience,No experience,Careers
Expert,Expert,Moderate experience,No experience,Moderate experience,Limited experience,Expert,Expert,Expert,Moderate experience,AI Persona Lab
Moderate experience,Limited experience,Limited experience,No experience,Moderate experience,Limited experience,Moderate experience,Moderate experience,No experience,No experience,Careers
Moderate experience,Expert,Moderate experience,No experience,Moderate experience,Expert,Moderate experience,Expert,Expert,Moderate experience,Genomics
Moderate experience,Limited experience,Limited experience,No experience,No experience,No experience,Moderate experience,No experience,Limited experience,No experience,Mortgages
Moderate experience,No experience,Limited experience,No experience,Limited experience,Limited experience,Moderate experience,Moderate experience,Moderate experience,Limited experience,Entrepreneurship
Moderate experience,Limited experience,Moderate experience,No experience,Moderate experience,Limited experience,Moderate experience,Moderate experience,Moderate experience,No experience,Mortgages
